,category,frequency,avg_rating,avg_price,avg_num_reviews
0,Sports & Outdoors,1390,4.376690647482015,49.29003597122302,436.86546762589927
1,Clothing,1358,4.347054491899852,36.191774668630345,648.2658321060383
2,Shoes & Jewelry,1111,4.341404140414041,36.406723672367235,682.8208820882088
3,Automotive,1109,4.411902614968439,59.00473399458972,173.33814247069432
4,Industrial & Scientific,886,4.429683972911963,54.66994356659143,286.3216704288939
5,Sports & Fitness,840,4.3619047619047615,47.842202380952386,427.9845238095238
6,Tools & Home Improvement,696,4.436206896551725,54.722456896551726,523.7183908045977
7,Home & Kitchen,542,4.422878228782287,60.06001845018451,1361.5756457564576
8,Health & Household,539,4.369202226345084,28.081595547309835,979.669758812616
9,Replacement Parts,507,4.450887573964497,48.70762327416173,104.14990138067061
10,Women,505,4.248118811881189,38.670762376237626,665.4316831683168
11,Grocery & Gourmet Food,505,4.370891089108912,33.47120792079208,366.1029702970297
12,Kitchen & Dining,447,4.425727069351231,42.608076062639824,922.7337807606264
13,Outdoor Recreation,422,4.379857819905213,57.48337677725119,518.0331753554502
14,Accessories,351,4.387179487179488,35.20735042735043,1024.4273504273503
15,Shops,347,4.21671469740634,52.763645533141215,421.90489913544667
16,Electronics,341,4.307038123167156,84.58719941348974,1155.6451612903227
17,Men,340,4.356764705882353,48.27017647058824,851.964705882353
18,Toys & Games,322,4.461180124223603,28.21305900621118,668.2453416149068
19,Office Products,322,4.4614906832298145,50.4435248447205,756.4875776397515
20,Patio,289,4.3757785467128025,75.05996539792388,510.4048442906574
21,Lawn & Garden,289,4.3757785467128025,75.05996539792388,510.4048442906574
22,Crafts & Sewing,271,4.480073800738007,22.201236162361624,365.56457564575646
23,Arts,271,4.480073800738007,22.201236162361624,365.56457564575646
24,Musical Instruments,262,4.346946564885497,80.3462213740458,200.04580152671755
25,Pantry Staples,261,4.383524904214559,30.25676245210728,245.64750957854406
26,Pet Supplies,255,4.351372549019607,31.225823529411766,928.9019607843137
27,Power & Hand Tools,243,4.47283950617284,49.174609053497946,312.56378600823047
28,Baby,236,4.483898305084746,33.937627118644066,800.5508474576271
29,Beauty & Personal Care,226,4.41637168141593,19.580730088495578,1997.212389380531
30,Office Supplies,204,4.525490196078431,30.582794117647055,937.8284313725491
31,Hunting & Fishing,171,4.457894736842105,42.15859649122807,385.9298245614035
32,Team Sports,163,4.338036809815951,48.00444785276074,446.5766871165644
33,Computers & Accessories,155,4.391612903225806,82.64529032258064,5740.509677419355
34,Motorcycle & ATV,150,4.395333333333333,69.60483333333332,113.02
35,Instrument Accessories,139,4.42158273381295,44.64697841726619,202.3884892086331
36,Camera & Photo,137,4.386131386861313,111.14496350364963,510.7883211678832
37,Home Décor,136,4.428676470588235,39.16477941176471,666.4705882352941
38,Fan Shop,127,4.459842519685038,31.821023622047242,229.1259842519685
39,Girls,126,4.46904761904762,23.719801587301585,311.35714285714283
40,Dogs,117,4.366666666666667,33.856153846153845,1241.2222222222222
41,Health Care,116,4.417241379310345,22.18745689655172,740.551724137931
42,Medical Supplies & Equipment,115,4.319999999999999,43.65673913043478,667.0173913043478
43,Boys,114,4.436842105263159,26.71324561403509,241.83333333333334
44,Performance Parts & Accessories,110,4.345454545454545,76.2425,24.854545454545455
45,House Supplies,106,4.456603773584906,18.28042452830189,1326.0188679245282
46,Cycling,103,4.38252427184466,44.33985436893203,563.6407766990292
47,Parts,103,4.368932038834951,69.08995145631067,79.1747572815534
48,Accessories & Supplies,102,4.408823529411765,26.906225490196064,1003.343137254902
49,Shoes,100,4.445,71.16070000000002,1016.77
50,Furniture,100,4.3340000000000005,126.1065,1432.07
51,Vitamins & Dietary Supplements,95,4.36,29.957894736842107,1043.1473684210525
52,Bedding,93,4.4967741935483865,38.43204301075268,2013.752688172043
53,Power Tool Parts & Accessories,92,4.506521739130434,29.60190217391304,231.05434782608697
54,Video Games,88,4.332954545454545,32.49761363636364,1759.4318181818182
