,category,title,price,rating,No of reviews
0,"['Kitchen & Dining', 'Kitchen Utensils & Gadgets', 'Graters, Peelers & Slicers', ' Mandolines & Slicers']",leifheit comfortline gourmet garlic slicer | finely cut slice vegetableswhite red,15.99,4.4,403
1,"['Health & Household', 'House Supplies', 'Household Cleaning', 'Wood Conditioners, Waxes & Oils']",food grade mineral oil cutting boards countertops butcher blocks safe made us 128oz 1 gallon,19.8,4.9,321
2,"['Automotive', 'RV Parts & Accessories', ' Lighting']",srrb direct 1139 1383 led replacement r12 ba15s bulb 12v 24v ac dc rv camper trailer motorhome 5th wheel marine boat reading light 2 watt natural white,15.989999999999998,4.4,321
3,"['Toys & Games', 'Hobbies', 'Trains & Accessories', 'Train Cars', 'Boxcars']",bachmann industries 50 sliding door box santa fe car n scale,53.99,4.5,9
4,"['Sports & Outdoors', 'Outdoor Recreation', 'Cycling', 'Clothing', 'Caps']",unisex cycling cap breathable anti-sweat helmet skull summer bike bicycle riding,29.95,4.0,11
5,"['Computers & Accessories', 'Computer Accessories & Peripherals', 'Compressed Air Dusters']",metrovac computer electronics duster 4 inw 70 cfm 2016 version,16.33,3.9,53
6,"['Baby', 'Diapering', 'Pins & Fasteners']",baby king ducks diaper pins 4- per pack 12 packs total 48 assorted colors,11.95,4.7,12
7,"['Sports & Outdoors', 'Sports & Fitness', 'Team Sports', 'Other Team Sports', ' Roller Hockey']",mylec inc 54 x 44 replacement net 817,15.99,3.8,72
8,"['Tools & Home Improvement', 'Safety & Security', 'Handheld Flashlights']",dewalt 20v max led work light flashlight dcl040,87.36500000000001,4.8,3963
9,"['Health & Household', 'Health Care', 'Sleep Sound Machines']",white noise sound machine | portable sleep therapy home office baby travel 4 relaxing soothing nature sounds battery operated auto-off timer homedics,14.42,3.8,750
10,"['Sports & Outdoors', 'Sports & Fitness', 'Swimming', ' Swimwear']",century star tankini swimsuits women retro bathing suits two pieces modest swimming wear sports tank tops boyshorts,21.99,4.3,1638
11,"['Sports & Outdoors', 'Sports & Fitness', 'Team Sports', 'Other Team Sports', 'Poms']",mglan army bomb kpop light stick bts version 3 replica-unofficial,29.99,3.8,29
12,"['Toys & Games', 'Sports & Outdoor Play', ' Bean Bags & Footbags']",oojami nylon bean bags toy assorted 5 inches 12 piece,13.99,4.5,795
13,"['Sports & Outdoors', 'Outdoor Recreation', 'Cycling', 'Parts & Components', 'Handlebars']",evo road bicycle handlebar end plugs pair,19.99,4.7,123
14,"['Automotive', 'Motorcycle & ATV', 'Parts', 'Wiring Harnesses']",kemimoto utv harness pass-through bezel seat belt pass insert polaris rzr xp1000 900 xc general,59.989999999999995,4.1,89
15,"['Sports & Outdoors', 'Outdoor Recreation', 'Cycling', 'Parts & Components', 'Bike Brakes & Parts', 'Rotors']",trp disc brake pads g-spec quadiem slate sintered,5.56,5.0,3
16,"['Industrial & Scientific', 'Material Handling Products', 'Heaters']",briskheat dhcs15a heavy-duty drum pail heaters dhcs dpcs silicone rubber,156.975,4.6,3
