,category,frequency,avg_rating,avg_price,avg_num_reviews,cluster_assignment,TSNE_X_coord,TSNE_Y_coord
0,Sports & Outdoors,1390,4.376690647482015,49.29003597122302,436.86546762589927,6,-5.171796,-3.1116502
1,Clothing,1358,4.347054491899852,36.191774668630345,648.2658321060383,19,-1.459046,3.167043
2,Shoes & Jewelry,1111,4.341404140414041,36.40672367236724,682.8208820882088,5,0.573368,5.561355
3,Automotive,1109,4.411902614968439,59.00473399458972,173.33814247069432,2,-5.7782726,6.5517497
4,Industrial & Scientific,886,4.429683972911963,54.66994356659143,286.3216704288939,7,-0.20209399,8.945949
5,Sports & Fitness,840,4.3619047619047615,47.84220238095239,427.9845238095238,11,-4.131197,4.7901573
6,Tools & Home Improvement,696,4.436206896551725,54.722456896551726,523.7183908045977,3,4.1832514,1.8591021
7,Home & Kitchen,542,4.422878228782287,60.06001845018451,1361.5756457564576,3,5.498142,-5.962892
8,Health & Household,539,4.369202226345084,28.081595547309835,979.669758812616,11,5.8348017,-1.21355
9,Replacement Parts,507,4.450887573964497,48.70762327416173,104.1499013806706,9,-3.0012877,-0.8344973
10,Women,505,4.248118811881189,38.670762376237626,665.4316831683168,19,-0.8166882,-2.5094652
11,Grocery & Gourmet Food,505,4.370891089108912,33.47120792079208,366.1029702970297,4,5.3439074,-6.9788976
12,Kitchen & Dining,447,4.425727069351231,42.608076062639824,922.7337807606264,4,5.3162723,-6.383626
13,Outdoor Recreation,422,4.379857819905213,57.48337677725119,518.0331753554502,6,-0.793082,-3.9295795
14,Accessories,351,4.387179487179488,35.20735042735043,1024.4273504273503,19,-2.8548095,2.2714734
15,Shops,347,4.21671469740634,52.763645533141215,421.9048991354466,13,-0.8236101,1.8328432
16,Electronics,341,4.307038123167156,84.58719941348974,1155.645161290323,7,-7.118013,3.2619684
17,Men,340,4.356764705882353,48.27017647058824,851.964705882353,9,-1.6097859,-1.4427745
18,Toys & Games,322,4.461180124223603,28.21305900621118,668.2453416149068,0,-5.347715,-3.4101899
19,Office Products,322,4.461490683229815,50.4435248447205,756.4875776397515,3,2.983928,2.9336975
20,Patio,289,4.3757785467128025,75.05996539792388,510.4048442906574,6,-0.6673427,-4.004216
21,Lawn & Garden,289,4.3757785467128025,75.05996539792388,510.4048442906574,6,1.0677024,-7.080659
22,Crafts & Sewing,271,4.480073800738007,22.201236162361624,365.56457564575646,1,2.3358588,3.850947
23,Arts,271,4.480073800738007,22.201236162361624,365.56457564575646,19,-2.746802,1.8837478
24,Musical Instruments,262,4.346946564885497,80.3462213740458,200.04580152671755,19,-5.5025673,3.327143
25,Pantry Staples,261,4.383524904214559,30.25676245210728,245.6475095785441,4,5.3590174,-6.8414702
26,Pet Supplies,255,4.351372549019607,31.22582352941177,928.9019607843136,11,3.0609622,0.19709069
27,Power & Hand Tools,243,4.47283950617284,49.174609053497946,312.56378600823047,10,-4.729015,5.860184
28,Baby,236,4.483898305084746,33.937627118644066,800.5508474576271,9,-2.194036,-3.1975296
29,Beauty & Personal Care,226,4.41637168141593,19.580730088495574,1997.212389380531,11,6.879263,-1.8843185
30,Office Supplies,204,4.525490196078431,30.58279411764705,937.8284313725492,3,2.9612455,2.9086196
31,Hunting & Fishing,171,4.457894736842105,42.15859649122807,385.9298245614035,12,10.152322,-0.472985
32,Team Sports,163,4.338036809815951,48.00444785276074,446.5766871165644,19,-6.6290774,-2.124463
33,Computers & Accessories,155,4.391612903225806,82.64529032258064,5740.509677419355,0,-9.98276,3.543887
34,Motorcycle & ATV,150,4.395333333333333,69.60483333333332,113.02,2,-6.4628983,8.243941
35,Instrument Accessories,139,4.42158273381295,44.64697841726619,202.3884892086331,19,-5.248052,3.1864665
36,Camera & Photo,137,4.386131386861313,111.14496350364963,510.7883211678832,19,-8.611635,1.61841
37,Home Décor,136,4.428676470588235,39.16477941176471,666.4705882352941,3,4.1686487,2.1297424
38,Fan Shop,127,4.459842519685038,31.82102362204724,229.1259842519685,9,2.767902,4.833713
39,Girls,126,4.46904761904762,23.719801587301585,311.35714285714283,19,-0.79212976,-2.5363796
40,Dogs,117,4.366666666666667,33.856153846153845,1241.2222222222222,12,3.9346757,0.04368346
41,Health Care,116,4.417241379310345,22.18745689655172,740.551724137931,11,5.800005,-1.1715556
42,Medical Supplies & Equipment,115,4.319999999999999,43.65673913043478,667.0173913043478,11,5.6851206,-0.844377
43,Boys,114,4.436842105263159,26.71324561403509,241.83333333333331,9,-1.6528369,-1.6384618
44,Performance Parts & Accessories,110,4.345454545454545,76.2425,24.854545454545452,19,-4.1329956,2.898747
45,House Supplies,106,4.456603773584906,18.28042452830189,1326.0188679245282,3,4.0049148,2.002977
46,Cycling,103,4.38252427184466,44.33985436893203,563.6407766990292,6,-6.7030725,8.500866
47,Parts,103,4.368932038834951,69.08995145631067,79.1747572815534,9,-1.4152278,-1.0597507
48,Accessories & Supplies,102,4.408823529411765,26.906225490196064,1003.343137254902,19,-2.509479,2.3085084
49,Shoes,100,4.445,71.16070000000002,1016.77,5,0.11834781,5.3589845
50,Furniture,100,4.3340000000000005,126.1065,1432.07,3,3.2604525,2.2577581
51,Vitamins & Dietary Supplements,95,4.36,29.957894736842107,1043.1473684210523,11,7.9548707,-2.1090903
52,Bedding,93,4.4967741935483865,38.43204301075268,2013.752688172043,3,4.9733157,3.8904173
53,Power Tool Parts & Accessories,92,4.506521739130434,29.60190217391304,231.05434782608697,7,-5.0922904,5.9229555
54,Video Games,88,4.332954545454545,32.49761363636364,1759.4318181818182,0,-10.166925,5.5499954
55,Exterior Accessories,88,4.345454545454545,106.89022727272727,215.47727272727272,19,0.48140875,1.4564639
56,Lab & Scientific Products,87,4.390804597701149,56.43729885057471,100.4367816091954,11,5.2990465,1.528584
57,Hobbies,83,4.40722891566265,30.671385542168668,110.33734939759036,19,-4.3475914,1.055824
58,Kitchen Utensils & Gadgets,83,4.355421686746987,19.71620481927711,939.3493975903616,4,5.537694,-6.167589
59,Novelty & More,83,4.290361445783132,19.268012048192773,368.6144578313253,17,-0.9142043,-1.5235
60,Other Sports,83,4.3349397590361445,44.11295180722891,212.83132530120483,17,-7.055815,-1.6285081
61,Leisure Sports & Game Room,81,4.31358024691358,51.254259259259264,310.58024691358025,0,-6.038889,-3.4561915
62,Hand Tools,80,4.47375,28.7284375,229.475,1,-1.107308,3.2539258
63,Dining & Entertaining,80,4.51375,27.7950625,417.5875,4,4.76709,-6.7268667
64,Tools & Equipment,79,4.39620253164557,60.70196202531643,315.32911392405066,10,-1.9738406,3.011183
65,Craft Supplies,78,4.412820512820513,17.88820512820513,349.3076923076923,10,-1.721333,2.603013
66,Measure & Inspect,77,4.379220779220779,83.30331168831171,141.0,1,-1.8769433,2.0708342
67,Test,77,4.379220779220779,83.30331168831171,141.0,9,1.5841738,2.0170753
68,Tools & Accessories,76,4.351315789473683,21.875723684210524,1445.657894736842,10,-2.0103354,2.992741
69,Gardening,75,4.342666666666665,60.85880000000001,780.92,6,1.2673414,-7.0359035
70,Camping & Hiking,75,4.397333333333334,44.492,939.8133333333334,6,2.986125,6.824913
71,Electrical,75,4.492,41.52146666666666,436.72,7,-7.0709515,4.5867815
72,Building Supplies,74,4.36891891891892,67.3585135135135,388.2162162162162,1,1.2702788,6.5249615
73,Petite,73,4.06986301369863,26.43609589041096,462.1917808219178,8,-0.35930434,-2.4768836
74,Exercise & Fitness,71,4.315492957746478,54.08056338028168,740.7042253521126,11,-4.0795975,4.8176455
75,Novelty,71,4.336619718309858,20.019154929577464,239.9154929577465,9,-0.8475513,-1.5376966
76,Cooking & Baking,70,4.524285714285714,30.772714285714283,417.22857142857146,4,6.9484253,-6.5659385
77,Engines & Engine Parts,70,4.551428571428571,55.29121428571427,31.928571428571427,2,-3.7798662,6.9074445
78,Mobility & Daily Living Aids,69,4.271014492753624,42.62572463768115,459.4347826086956,11,-0.16210507,3.6053972
79,Jewelry,69,4.350724637681159,16.07340579710145,639.8840579710145,19,0.49772236,7.948733
80,Professional Medical Supplies,68,4.333823529411766,36.15132352941176,1046.8088235294117,11,5.7050123,-0.9648423
81,Water Sports,68,4.370588235294118,110.34507352941176,504.5735294117647,16,2.0976384,-8.001632
82,Storage & Organization,67,4.477611940298507,23.879477611940302,1276.597014925373,13,-1.2186924,1.1182547
83,Hardware,63,4.493650793650794,48.02698412698413,445.12698412698415,19,-4.3389874,2.507818
84,Contemporary & Designer,62,4.346774193548387,111.0833064516129,70.38709677419355,19,-2.785149,1.9784238
85,Sewing,61,4.468852459016394,20.79631147540984,484.40983606557376,1,2.3623748,3.858764
86,Fishing,58,4.413793103448276,24.992931034482755,291.67241379310343,16,2.098464,-9.108468
87,Cats,58,4.353448275862069,32.08810344827586,790.5689655172414,3,4.8558917,2.267219
88,Industrial Electrical,57,4.475438596491228,35.12280701754386,356.8421052631579,7,-0.25747046,8.932971
89,Building Materials,56,4.326785714285714,59.90776785714286,175.73214285714286,19,1.230997,6.5205107
90,Lighting & Ceiling Fans,55,4.396363636363636,48.874363636363626,1196.2727272727273,3,-0.04516973,-2.6328743
91,Nursery,55,4.412727272727271,44.97645454545453,779.8909090909091,3,4.304387,2.2239864
92,Hydraulics,54,4.305555555555555,46.40166666666666,80.05555555555556,10,-2.2026799,-1.5199866
93,Pneumatics & Plumbing,54,4.305555555555555,46.40166666666666,80.05555555555556,14,3.2992136,-3.30372
94,Kitchen & Bath Fixtures,54,4.496296296296297,113.412037037037,632.574074074074,15,6.4143343,-3.9867976
95,Plus-Size,54,4.096296296296296,34.929722222222225,389.9814814814815,9,0.3427247,0.34613782
96,Skates,52,4.517307692307693,55.14538461538461,226.55769230769232,17,-8.026612,-1.1314505
97,Fasteners,52,4.590384615384616,17.70173076923077,131.46153846153845,10,-2.8793404,3.9112427
98,Skateboards & Scooters,51,4.507843137254902,52.912941176470575,230.98039215686276,0,-5.6756635,7.2429004
99,Material Handling Products,50,4.460000000000001,102.387,145.56,10,-1.5951723,2.4847367
100,Computer Accessories & Peripherals,50,4.472,17.8744,10376.42,0,-9.881233,3.5481944
101,Remote & App Controlled Vehicles & Parts,49,4.353061224489796,23.29724489795918,110.6122448979592,0,-8.473707,3.2511616
102,Outdoor Clothing,48,4.308333333333334,49.51072916666667,279.2083333333333,6,-0.78183657,-3.9030893
103,Shooting,48,4.541666666666667,52.653020833333336,635.2708333333334,9,-7.724888,1.7742901
104,Audio & Video Accessories,48,4.422916666666667,25.11895833333334,1016.8541666666666,0,-8.484175,5.988158
105,Parts & Accessories,47,4.465957446808511,53.13989361702127,325.7659574468085,19,-3.530247,2.542594
106,Power Transmission Products,47,4.53191489361702,46.46999999999999,17.72340425531915,7,-6.8897114,4.7420077
107,Spices & Seasonings,47,4.391489361702127,24.03989361702128,243.80851063829783,18,7.050019,-6.3349576
108,Baby Girls,47,4.504255319148936,20.44808510638298,424.8510638297872,17,-0.1265371,-2.8707473
109,Herbs,47,4.391489361702127,24.03989361702128,243.80851063829783,6,2.686866,-6.2108107
110,Safety & Security,47,4.334042553191489,62.01521276595744,765.5744680851063,19,-1.3086655,7.499669
111,Wheels & Tires,46,4.476086956521739,98.44880434782606,175.41304347826087,2,-4.909955,5.3366323
112,Boating & Sailing,46,4.541304347826086,64.46021739130433,105.21739130434784,16,1.4342206,-9.081279
113,Hair Care,45,4.4,15.935888888888892,2942.6222222222223,15,6.678778,-1.4148637
114,Airsoft & Paintball,45,4.051111111111111,33.89433333333334,176.17777777777778,17,-7.832695,-2.8261323
115,Cell Phones & Accessories,44,4.352272727272728,24.685454545454547,5235.409090909091,0,-8.584976,3.875313
116,Painting,43,4.5813953488372094,21.446976744186045,380.4186046511628,14,0.12165792,-5.3110776
117,Drawing & Art Supplies,43,4.5813953488372094,21.446976744186045,380.4186046511628,1,-3.4769182,-3.4125261
118,Food Service Equipment & Supplies,43,4.32093023255814,87.95825581395349,588.7441860465116,4,5.2633214,-6.903974
119,Canned,43,4.2372093023255815,33.399069767441866,440.3953488372093,9,-1.466171,-4.6356473
120,Work & Safety,42,4.211904761904761,44.06321428571429,831.3333333333334,19,-1.2364069,7.546735
121,Body & Trim,42,4.392857142857143,46.880833333333335,188.4047619047619,19,-3.1206708,2.5119138
122,Uniforms,42,4.230952380952381,43.0675,818.7380952380952,19,-1.0463033,3.5654619
123,Golf,42,4.5095238095238095,86.53071428571428,327.54761904761904,12,-11.044838,2.5164306
124,Janitorial & Sanitation Supplies,41,4.446341463414634,56.41682926829267,957.2439024390244,15,4.4580216,-3.414883
125,Boating,41,4.54390243902439,58.46768292682927,104.7560975609756,16,1.4482784,-9.028212
126,Engine Parts,41,4.5634146341463415,51.73134146341462,37.41463414634146,2,-3.856041,6.830767
127,Office Electronics,41,4.251219512195122,113.12451219512197,416.8536585365854,3,3.0062923,2.9488075
128,Patio Furniture & Accessories,41,4.419512195121951,123.18487804878048,426.8536585365854,6,-0.59580135,-4.0705647
129,Winter Sports,41,4.35609756097561,53.439146341463406,441.780487804878,12,9.053887,1.8998159
130,Remote & App Controlled Vehicle Parts,40,4.3625,20.519875000000003,44.2,0,-8.467628,3.2350757
131,Heating,40,4.305,116.45,438.9,14,5.4913917,0.31661487
132,Fittings,40,4.334999999999999,29.515625,49.125,9,-1.6311134,2.0316594
133,Guitar & Bass Accessories,40,4.5075,30.215375,309.275,12,-5.235419,8.919262
134,Skin Care,39,4.48974358974359,18.01346153846154,2442.333333333333,11,5.5779696,-2.0370362
135,Lingerie,39,4.207692307692308,21.18423076923077,1650.7948717948718,5,2.1720417,5.4626403
136,Cooling & Air Quality,39,4.3128205128205135,118.7694871794872,448.5384615384616,14,4.340407,0.04095932
137,Sleep & Lounge,39,4.282051282051281,22.68435897435897,1635.5641025641023,3,5.390418,4.1215796
138,Switches & Relays,38,4.38421052631579,48.17473684210526,21.473684210526315,7,-5.5360003,2.2412136
139,Bakeware,38,4.423684210526315,20.62118421052632,387.0263157894737,4,6.3426423,-6.721155
140,Raw Materials,37,4.7,39.82445945945946,38.51351351351352,10,-0.62400055,3.08684
141,Protective Gear,37,4.394594594594595,48.64432432432433,285.1621621621622,5,-0.8438791,5.353654
142,OTC Medications & Treatments,37,4.583783783783784,17.423243243243245,1150.5135135135135,11,5.240169,-1.2321308
143,Jarred & Packaged Foods,37,4.18108108108108,34.375,101.56756756756756,4,-1.457533,-4.888016
144,Interior Accessories,36,4.319444444444445,37.21097222222222,441.52777777777777,3,3.0501373,2.1132433
145,Shirts,36,4.313888888888888,30.16263888888889,635.1111111111111,9,0.23509774,4.260815
146,Costumes & Accessories,36,4.252777777777778,19.67875,344.3888888888889,19,-2.7744038,1.9018377
147,Fuel System,36,4.316666666666666,54.68111111111111,43.55555555555556,14,7.0668316,1.2422274
148,Breads & Bakery,36,4.35,29.48513888888889,434.8611111111111,4,6.8761477,-7.6729217
149,Engine Cooling & Climate Control,35,4.394285714285715,59.86085714285715,207.22857142857143,14,-1.3633506,8.991884
150,Bath,35,4.3514285714285705,27.93771428571428,1316.057142857143,15,5.363498,-4.219946
151,Snack Foods,34,4.364705882352941,24.15529411764706,347.47058823529414,4,6.082135,-7.112703
152,Shave & Hair Removal,34,4.323529411764706,25.176911764705885,1051.8529411764705,15,6.0520363,-2.2866042
153,Baseball,34,4.314705882352941,63.03088235294116,262.47058823529414,17,-8.581641,-2.4303293
154,Preschool,34,4.644117647058824,35.74985294117647,1800.3529411764705,9,0.8899559,-2.4690256
155,Surf,33,4.381818181818182,69.17999999999999,689.6666666666666,16,1.4943627,-8.867765
156,Big & Tall,33,4.260606060606061,42.289393939393946,303.6363636363636,19,-0.4534352,6.487572
157,Personal Protective Equipment,33,4.281818181818182,68.00818181818181,639.9090909090909,19,-0.7444279,4.8314943
158,Skate & Street,33,4.381818181818182,69.17999999999999,689.6666666666666,17,-8.075248,-1.1028166
159,Outdoor Décor,32,4.340624999999999,64.11859375,307.21875,6,-0.76888734,-3.9091926
160,Small Appliances,32,4.04375,126.48546875,770.5625,8,-1.5470997,-7.159126
161,Paint,32,4.309375,25.921875,497.53125,19,0.1205924,-5.276824
162,Shorts,32,4.384375,27.348750000000003,259.34375,8,-2.3803582,-0.4471588
163,Shocks,32,4.5625,80.07078125000001,39.65625,9,-2.1963723,-4.935184
164,Wall Treatments & Supplies,32,4.309375,25.921875,497.53125,1,2.347574,1.0596316
165,Professional Dental Supplies,32,4.115625,75.61609375,16.40625,11,8.682173,-1.212041
166,Foot,31,4.551612903225807,15.11451612903226,1495.1612903225807,9,-0.10557737,5.147028
167,Hand & Nail Care,31,4.551612903225807,15.11451612903226,1495.1612903225807,1,2.7775283,1.113842
168,Hunting,31,4.461290322580645,59.86983870967743,175.70967741935485,12,10.142729,-0.4349655
169,Bathroom Fixtures,30,4.48,143.00516666666664,286.8333333333333,15,6.39129,-3.7498186
170,Struts & Suspension,30,4.5600000000000005,83.53283333333334,40.23333333333333,10,-4.1107945,5.0467925
171,Grills & Outdoor Cooking,30,4.453333333333333,36.29166666666666,407.4666666666666,4,7.396002,-5.17659
172,Produce,30,4.320000000000001,26.043666666666663,315.8,9,-0.87500805,0.79463625
173,Rough Plumbing,30,4.416666666666666,57.00299999999999,167.0,8,-2.2082973,-5.538769
174,Adhesives,29,4.544827586206897,45.25241379310346,277.3793103448276,1,2.2585156,-0.14498574
175,Power Tools,29,4.393103448275863,146.71965517241378,627.2758620689655,7,-5.0533714,5.8690376
176,Sports & Outdoor Play,29,4.313793103448276,40.57810344827587,812.6206896551724,6,-5.1014013,-3.238622
177,Lab Instruments & Equipment,29,4.393103448275863,93.65448275862067,92.65517241379312,11,5.290244,1.5319628
178,Car Electronics,29,4.286206896551724,59.1941379310345,202.68965517241375,2,-5.915614,6.740549
179,Drums & Percussion,29,4.103448275862069,115.25379310344825,39.03448275862069,17,-4.128093,8.3491125
180,Parts & Components,29,4.441379310344828,42.48810344827586,215.20689655172413,19,-3.6665006,2.4737923
181,Filters,28,4.557142857142857,28.21678571428572,350.9642857142857,9,1.920252,-3.1255696
182,Skateboarding,28,4.453571428571428,40.79607142857144,215.53571428571428,17,-8.05019,-1.1332942
183,Live Sound & Stage,28,4.346428571428572,47.176428571428566,301.0357142857143,19,-3.3046308,7.465665
184,Sports Nutrition,28,4.260714285714285,33.02053571428572,1934.9642857142856,11,7.6947694,-0.262669
185,Oils & Fluids,28,4.503571428571428,37.69214285714286,120.0,14,7.2693973,0.18579045
186,Juniors,28,4.414285714285715,36.67321428571428,122.07142857142856,9,-0.120468065,-0.5238587
187,Baby Boys,28,4.546428571428572,21.210714285714285,452.9285714285714,17,-3.2943857,-3.7823389
188,Serveware,27,4.414814814814815,33.123703703703704,410.5185185185185,4,4.9352517,-6.4064817
189,Pants,27,4.277777777777778,42.56333333333334,137.66666666666666,9,0.44397736,4.5127406
190,Soccer,27,4.448148148148149,33.970740740740744,1432.111111111111,6,-7.1926227,-2.7474174
191,Bathroom Accessories,27,4.351851851851852,18.448703703703707,801.3333333333334,15,6.3664527,-3.7237253
